80				81				81				81				81				54				54				54				60				57				59		
1	¶¬	30.198729		1	¶¬	11.126401		1	¶¬	12.395761		1	¶¬	13.724383		1	¶¬	16.494917		2	¶¬	19.115503		2	¶¬	27.206015		2	¶¬	32.278965		2	¶¬	32.885521		2	¶¬	33.888973		2	¶¬	28.96586
2	¶¬	41.51017		2	¶¬	25.879763		2	¶¬	26.118448		2	¶¬	24.265568		2	¶¬	26.837933		15	¶¬	10.114948		15	¶¬	24.667755		15	¶¬	28.815588		10	¶¬	40.631649		10	¶¬	38.669342		10	¶¬	31.138042
3	¶¬	38.318993		3	¶¬	36.437725		3	¶¬	24.253376		3	¶¬	15.765506		3	¶¬	19.613926		31	¶¬	19.389862		31	¶¬	27.134296		31	¶¬	28.007105		15	¶¬	30.391277		15	¶¬	28.419922		15	¶¬	26.180479
10	¶¬	35.96867		10	¶¬	19.179768		10	¶¬	19.94157		10	¶¬	17.622656		10	¶¬	14.804089		53	´º	19.619492		53	´º	36.181709		53	´º	35.427681		31	¶¬	28.243896		31	¶¬	34.551044		31	¶¬	26.856432
15	¶¬	37.104038		15	¶¬	24.438227		15	¶¬	17.702364		15	¶¬	12.985044		15	¶¬	15.016397		59	´º	26.370022		59	´º	36.834156		59	´º	37.69371		59	´º	34.1689		59	´º	33.393223		59	´º	34.925022
17	¶¬	34.918488		17	¶¬	18.604528		17	¶¬	17.064295		17	¶¬	16.663536		17	¶¬	16.782431		63	´º	3.625131		63	´º	13.002739		63	´º	15.813215		63	´º	22.108946		63	´º	23.675312		63	´º	17.566137
31	¶¬	37.798737		31	¶¬	28.624718		31	¶¬	21.4359		31	¶¬	20.095985		31	¶¬	21.879709		64	´º	20.083046		64	´º	25.213665		64	´º	24.410551		64	´º	24.27515		64	´º	26.588285		64	´º	21.196169
51	´º	37.305817		51	´º	24.425562		51	´º	20.620502		51	´º	15.91227		51	´º	21.31398		65	´º	2.024012		65	´º	15.196543		65	´º	18.496796		65	´º	21.678381		65	´º	25.79385		65	´º	17.50609
52	´º	39.499111		52	´º	24.203465		52	´º	21.635866		52	´º	16.700619		52	´º	18.659197		66	´º	29.039112		66	´º	35.265446		66	´º	37.292049		66	´º	38.257889		66	´º	41.641281		66	´º	34.86293
53	´º	37.048393		53	´º	21.737261		53	´º	18.851971		53	´º	16.779301		53	´º	20.164597		74	´º	8.764276		74	´º	24.189209		74	´º	27.662868		90	´º	34.411617		90	´º	36.618309		90	´º	32.023373
59	´º	47.658428		59	´º	35.879948		59	´º	31.577606		59	´º	28.348736		59	´º	27.278811		90	´º	11.379161		90	´º	27.800037		90	´º	29.103981		92	´º	44.358078		92	´º	44.468109		92	´º	38.286652
63	´º	23.127495		63	´º	10.10122		63	´º	7.273063		63	´º	7.209663		63	´º	8.870827		92	´º	29.074984		92	´º	39.130405		92	´º	39.075188		97	´º	28.227489		104	´º	30.727095		104	´º	24.230684
65	´º	25.96418		65	´º	5.166771		65	´º	3.884557		65	´º	4.08875		65	´º	3.706255		97	´º	6.514587		97	´º	20.898773		97	´º	20.422922		104	´º	29.563551		111	´º	28.86615		111	´º	22.9522
66	´º	41.887619		66	´º	25.165977		66	´º	24.051723		66	´º	25.77626		66	´º	28.352676		105	´º	25.482962		104	´º	25.002443		104	´º	26.230083		111	´º	25.427696		116	´º	30.115959		116	´º	24.25733
74	´º	33.337017		74	´º	13.21819		74	´º	9.065362		74	´º	10.123579		74	´º	10.8064		111	´º	10.915798		111	´º	24.110228		111	´º	23.750912		116	´º	29.803196		118	´º	39.748943		118	´º	31.388601
90	´º	34.00964		90	´º	20.648399		90	´º	18.068481		90	´º	14.79062		90	´º	13.685533		116	´º	18.068329		116	´º	25.68749		116	´º	22.264582		118	´º	37.493549		150	ÏÄ	28.255896		150	ÏÄ	24.621096
92	´º	40.895737		92	´º	28.602266		92	´º	24.932993		92	´º	25.040651		92	´º	26.960287		118	´º	20.11784		118	´º	26.56638		118	´º	25.636534		150	ÏÄ	33.895809		154	ÏÄ	34.692547		154	ÏÄ	27.399239
94	´º	35.050369		94	´º	18.597486		94	´º	17.354462		94	´º	24.29455		94	´º	25.993689		150	ÏÄ	17.542772		150	ÏÄ	19.155649		150	ÏÄ	23.91153		154	ÏÄ	37.19043		175	ÏÄ	37.430782		175	ÏÄ	33.691254
97	´º	30.106396		97	´º	11.456714		97	´º	10.002624		97	´º	9.95745		97	´º	10.952026		154	ÏÄ	13.034124		154	ÏÄ	25.601364		154	ÏÄ	29.951033		175	ÏÄ	28.951782		181	ÏÄ	39.010124		181	ÏÄ	34.503456
102	´º	36.665627		102	´º	27.279282		102	´º	24.194027		102	´º	24.148733		102	´º	24.265318		175	ÏÄ	19.486217		175	ÏÄ	22.246889		175	ÏÄ	29.600842		181	ÏÄ	36.277748		184	ÏÄ	34.205364		184	ÏÄ	32.175346
104	´º	30.243999		104	´º	18.460978		104	´º	21.642832		104	´º	11.993648		104	´º	14.978947		184	ÏÄ	24.797344		184	ÏÄ	26.659969		184	ÏÄ	29.88117		184	ÏÄ	29.592274		185	ÏÄ	31.135578		185	ÏÄ	26.628769
105	´º	43.598412		105	´º	33.569534		105	´º	29.901369		105	´º	28.365221		105	´º	28.754044		185	ÏÄ	30.401226		185	ÏÄ	28.542599		185	ÏÄ	27.727573		185	ÏÄ	27.436682		186	ÏÄ	31.100927		186	ÏÄ	26.509207
106	´º	39.680733		106	´º	32.587257		106	´º	22.363274		106	´º	19.832724		106	´º	18.709705		186	ÏÄ	19.205156		186	ÏÄ	25.429039		186	ÏÄ	25.708307		186	ÏÄ	27.120218		187	ÏÄ	27.153585		187	ÏÄ	24.933054
110	´º	42.92403		110	´º	29.609762		110	´º	27.953621		110	´º	27.478024		110	´º	28.985315		196	ÏÄ	28.749668		196	ÏÄ	29.620558		196	ÏÄ	23.952278		187	ÏÄ	24.121948		196	ÏÄ	21.269329		196	ÏÄ	22.661627
111	´º	30.385155		111	´º	20.62743		111	´º	19.780029		111	´º	18.212999		111	´º	15.762094		198	ÏÄ	18.332354		198	ÏÄ	23.407139		198	ÏÄ	24.329185		196	ÏÄ	19.824068		197	ÏÄ	42.870174		197	ÏÄ	39.941216
113	´º	33.822712		113	´º	18.638897		113	´º	18.375717		113	´º	17.458681		113	´º	16.829937		211	ÏÄ	16.727577		211	ÏÄ	27.859873		211	ÏÄ	28.292034		197	ÏÄ	41.831161		198	ÏÄ	31.660398		198	ÏÄ	26.19714
116	´º	36.757385		116	´º	23.827122		116	´º	25.965153		116	´º	24.902365		116	´º	23.591724		212	ÏÄ	15.328961		212	ÏÄ	19.412062		212	ÏÄ	19.726406		198	ÏÄ	28.925766		200	ÏÄ	29.389772		200	ÏÄ	23.943775
