3	7	25.1738
3	8	27.8419
3	10	28.9666
5	12	18.8551
3	13	34.8393
5	14	24.586
2	17	31.2007
2	23	25.3669
1	28	18.3445
6	29	37.5181
1	51	25.1476
3	67	29.8077
2	69	26.6832
3	81	27.3266
4	83	31.1952
6	84	34.0311
1	85	17.3594
4	86	25.6796
1	88	24.828
3	95	28.6541
1	106	19.0612
5	120	34.0555
5	121	33.4234
2	140	28.4609
2	145	23.4174
4	149	21.7459
1	151	24.0897
2	165	17.2535
6	170	13.3127
1	195	26.9973
3	197	30.6327
4	200	27.4596
2	204	26.0111
4	205	31.8018
4	208	27.4576
1	209	25.328
1	211	23.9046
6	212	46.8454
1	213	25.856
5	214	42.0835
2	218	21.6425
3	234	23.3446
6	238	24.8481
4	254	28.3946
1	266	17.9942
1	268	16.0631
3	269	27.6576
1	270	19.9191
4	282	29.7838
1	288	21.6524
1	289	20.4604
4	291	27.8856
3	294	30.8331
2	296	14.912
2	297	25.5609
1	298	24.8957
5	301	34.3596
1	305	30.1848
2	307	23.2218
6	308	28.6352
2	316	24.1463
2	317	28.7083
1	319	38.3876
3	321	20.3265
3	326	26.6457
2	327	28.0001
4	334	24.6409
1	335	27.6617
1	348	25.8626
1	360	17.5627
1	361	25.3353
2	362	19.4377
