99	´º	34.585361		99	´º	23.136724		93	´º	15.905644		93	´º	13.19395		88	´º	21.740517		205	ÏÄ	13.950133		205	ÏÄ	25.489412		205	ÏÄ	22.816999		141	ÏÄ	30.283192		141	ÏÄ	29.834351		173	ÏÄ	28.309265
100	´º	28.031147		100	´º	14.0142		99	´º	17.552187		99	´º	15.403117		93	´º	12.636221		209	ÏÄ	17.190239		209	ÏÄ	27.127934		209	ÏÄ	29.910614		173	ÏÄ	35.225201		173	ÏÄ	35.944729		174	ÏÄ	34.816177
113	´º	40.039589		113	´º	24.520115		100	´º	10.53837		100	´º	9.283067		99	´º	16.104099		210	ÏÄ	22.256962		210	ÏÄ	24.437159		210	ÏÄ	24.131824		174	ÏÄ	37.918808		174	ÏÄ	40.98859		182	ÏÄ	36.003139
131	ÏÄ	46.932629		131	ÏÄ	37.993633		113	´º	24.410648		113	´º	25.263132		100	´º	7.038482		221	Çï	18.266624		221	Çï	26.557123		221	Çï	27.388851		182	ÏÄ	40.669991		182	ÏÄ	43.186104		184	ÏÄ	29.855801
141	ÏÄ	23.089647		141	ÏÄ	18.056568		127	ÏÄ	16.000517		127	ÏÄ	15.089284		113	´º	28.26388		256	Çï	32.528126		256	Çï	35.432556		256	Çï	35.374432		184	ÏÄ	28.848427		184	ÏÄ	33.387928		191	ÏÄ	26.622667
148	ÏÄ	51.425098		148	ÏÄ	41.199383		131	ÏÄ	32.627666		131	ÏÄ	30.978819		127	ÏÄ	12.098957		260	Çï	7.725517		260	Çï	17.944279		260	Çï	20.181366		191	ÏÄ	29.860718		191	ÏÄ	32.830692		203	ÏÄ	21.961332
163	ÏÄ	41.82159		163	ÏÄ	26.317677		141	ÏÄ	14.090191		141	ÏÄ	13.215787		131	ÏÄ	32.735641		267	Çï	10.048903		267	Çï	23.347193		267	Çï	26.995743		203	ÏÄ	25.496794		203	ÏÄ	25.462429		205	ÏÄ	25.107046
173	ÏÄ	23.90324		173	ÏÄ	20.529638		148	ÏÄ	35.887535		148	ÏÄ	36.121681		141	ÏÄ	11.315929		268	Çï	18.514601		268	Çï	29.992092			Çï			205	ÏÄ	26.273859		205	ÏÄ	29.473787		206	ÏÄ	32.780666
182	ÏÄ	36.977264		182	ÏÄ	33.566628		163	ÏÄ	17.338444		163	ÏÄ	19.544567		148	ÏÄ	33.465137		274	Çï	24.519613		274	Çï	34.183884		274	Çï	36.01873		206	ÏÄ	35.90411		206	ÏÄ	37.681095		207	ÏÄ	28.142952
184	ÏÄ	36.54084		184	ÏÄ	28.22999		173	ÏÄ	16.711115		173	ÏÄ	19.482149		163	ÏÄ	19.214989		276	Çï	1.239584		276	Çï	12.897347		276	Çï	13.65738		207	ÏÄ	32.158203		207	ÏÄ	31.814514		209	ÏÄ	31.056385
186	ÏÄ	37.546547		186	ÏÄ	27.851736		182	ÏÄ	29.848492		182	ÏÄ	34.029377		173	ÏÄ	20.774494		278	Çï	1.763523		278	Çï	14.101095		278	Çï	18.249302		209	ÏÄ	36.844631		209	ÏÄ	37.758575		210	ÏÄ	25.999987
202	ÏÄ	32.809875		202	ÏÄ	22.25285		184	ÏÄ	18.361536		184	ÏÄ	16.819149		182	ÏÄ	30.952766		281	Çï	24.016518		281	Çï	34.685684		281	Çï	34.547573		210	ÏÄ	30.826775		210	ÏÄ	31.085489		215	Çï	34.749363
203	ÏÄ	29.573845		203	ÏÄ	18.213306		186	ÏÄ	26.189342		186	ÏÄ	32.736664		184	ÏÄ	15.758455		282	Çï	25.752726		282	Çï	36.173584		282	Çï	36.399529		215	Çï	36.814751		215	Çï	39.977215		221	Çï	28.169569
205	ÏÄ	20.764961		205	ÏÄ	19.722616		202	ÏÄ	23.734116		202	ÏÄ	25.123167		186	ÏÄ	30.245705		283	Çï	26.21686		283	Çï	32.568974		283	Çï	33.482708		221	Çï	25.011473		221	Çï	31.962507		256	Çï	35.693947
208	ÏÄ	48.473068		208	ÏÄ	39.244564		203	ÏÄ	18.974779		203	ÏÄ	18.435581		202	ÏÄ	25.153294		298	Çï	30.311525		298	Çï	41.83033		298	Çï	46.815998		256	Çï	34.185547		256	Çï	39.844654		260	Çï	22.155523
209	ÏÄ	34.260395		209	ÏÄ	19.125463		205	ÏÄ	18.937868		205	ÏÄ	17.623905		203	ÏÄ	18.312925		301	Çï	10.637119		301	Çï	22.472099		301	Çï	27.029497		260	Çï	22.58499		260	Çï	26.961138		261	Çï	33.185215
210	ÏÄ	41.476425		210	ÏÄ	25.48073		208	ÏÄ	42.0602		208	ÏÄ	42.147644		205	ÏÄ	16.641857		307	¶¬	14.003974		307	¶¬	31.414394		307	¶¬	36.951675		261	Çï	36.640678		261	Çï	39.965435		267	Çï	26.797165
212	ÏÄ	25.174202		212	ÏÄ	21.853785		209	ÏÄ	17.073315		209	ÏÄ	19.360493		208	ÏÄ	39.514191	Îí	308	¶¬	4.883432		308	¶¬	16.98263		308	¶¬	21.06275		267	Çï	23.332212		267	Çï	29.79859		274	Çï	36.111065
215	Çï	45.968376		215	Çï	31.633118		210	ÏÄ	22.69186		210	ÏÄ	28.488604		209	ÏÄ	20.035532		312	¶¬	11.42332		312	¶¬	24.069508		312	¶¬	27.170698		274	Çï	36.652504		274	Çï	42.370724		276	Çï	13.454693
221	Çï	29.006601		221	Çï	26.700159		212	ÏÄ	22.274084		212	ÏÄ	25.451517		210	ÏÄ	21.727535		313	¶¬	20.777647		313	¶¬	29.560177		313	¶¬	35.450802		276	Çï	16.81015		276	Çï	20.968618		278	Çï	18.006178
256	Çï	46.143059		256	Çï	33.504223		215	Çï	34.993126		215	Çï	32.706898		212	ÏÄ	27.494143		322	¶¬	20.638247		322	¶¬	29.497187		322	¶¬	28.233854		278	Çï	21.592432		278	Çï	23.53618		281	Çï	30.142406
260	Çï	37.943905		260	Çï	21.714289		221	Çï	21.934231		221	Çï	23.176544		215	Çï	25.76671		323	¶¬	17.849213		323	¶¬	34.12286		323	¶¬	34.628845		281	Çï	31.089685		281	Çï	36.029388		282	Çï	32.931591
261	Çï	43.198315		261	Çï	28.198452		256	Çï	34.489887		256	Çï	36.198414		221	Çï	22.900669		324	¶¬	5.960252		324	¶¬	20.284212		324	¶¬	26.924049		282	Çï	36.800228		282	Çï	39.69022		283	Çï	31.775299
267	Çï	36.924305		267	Çï	23.303602		260	Çï	17.19171		260	Çï	18.036272		256	Çï	35.886433		333	¶¬	6.82159		333	¶¬	19.533571		333	¶¬	23.086699		283	Çï	32.335098		283	Çï	37.551628		296	Çï	37.079891
268	Çï	36.709988		268	Çï	23.22678		261	Çï	25.853348		261	Çï	25.133926		260	Çï	15.081696		340	¶¬	3.156852		340	¶¬	15.566963		340	¶¬	16.739954		296	Çï	37.070885		296	Çï	41.896709		297	Çï	39.65321
273	Çï	36.62006		273	Çï	26.723433		267	Çï	18.667505		267	Çï	16.376598		261	Çï	25.610918		342	¶¬	4.255497		342	¶¬	14.044434		342	¶¬	16.951223		297	Çï	42.392643		297	Çï	44.684071		298	Çï	44.80265
276	Çï	24.408915		276	Çï	6.862729		268	Çï	19.754068		268	Çï	18.560312		267	Çï	13.053503		344	¶¬	1.603045		344	¶¬	15.092883		344	¶¬	20.572754		298	Çï	44.584229		298	Çï	47.82906		301	Çï	25.58066
278	Çï	28.969973		278	Çï	17.27212		273	Çï	27.262945		273	Çï	28.863239		268	Çï	21.278063		345	¶¬	23.335077		345	¶¬	28.452312		345	¶¬	28.644775		301	Çï	30.928986		301	Çï	32.978973		306	¶¬	27.31263
281	Çï	46.988091		281	Çï	36.65546		276	Çï	5.381252		276	Çï	5.705268		273	Çï	25.614687		347	¶¬	19.834213		347	¶¬	27.364464		347	¶¬	25.857695		307	¶¬	37.017712		307	¶¬	39.448265		308	¶¬	19.974293
282	Çï	39.82185		282	Çï	31.075741		278	Çï	12.15765		278	Çï	10.369204		276	Çï	3.743865														308	¶¬	25.953537		308	¶¬	27.176065		312	¶¬	24.883469
283	Çï	39.466789		283	Çï	22.839354		281	Çï	29.295246		281	Çï	28.43787		278	Çï	5.947857														312	¶¬	30.660549		312	¶¬	33.683838		313	¶¬	33.573151
284	Çï	37.888287		284	Çï	24.109598		282	Çï	28.783428		282	Çï	27.580261		281	Çï	27.870394														313	¶¬	40.283363		313	¶¬	42.987823		322	¶¬	27.712881
289	Çï	35.594967		289	Çï	23.317759		283	Çï	21.345394		283	Çï	21.208822		282	Çï	26.104115														322	¶¬	29.369692		322	¶¬	35.452915		323	¶¬	34.665981
290	Çï	36.643269		290	Çï	20.013531		284	Çï	22.744165		284	Çï	21.637718		283	Çï	23.17429														323	¶¬	37.658325		323	¶¬	43.337242		324	¶¬	24.334455
296	Çï	27.941008		296	Çï	29.066393		289	Çï	21.567049		289	Çï	21.992199		284	Çï	21.229044														324	¶¬	28.990536		324	¶¬	29.352194		333	¶¬	21.021812
297	Çï	46.981663		297	Çï	34.95779		290	Çï	19.068346		290	Çï	18.334284		289	Çï	19.72761														333	¶¬	29.518736		333	¶¬	30.47678		340	¶¬	13.523942
298	Çï	39.804726		298	Çï	28.526293		296	Çï	32.382919		296	Çï	29.216797		290	Çï	16.31599														340	¶¬	18.159222		340	¶¬	22.725109		342	¶¬	14.675237
301	Çï	31.014334		301	Çï	13.331536		297	Çï	38.200813		297	Çï	39.992695		296	Çï	34.723637														342	¶¬	21.499105		342	¶¬	23.826443		344	¶¬	18.330477
303	Çï	33.426903		303	Çï	16.522928		298	Çï	27.607716		298	Çï	27.180895		297	Çï	38.773994														344	¶¬	21.810841		344	¶¬	27.152908		345	¶¬	25.052475
306	¶¬	33.733749		306	¶¬	12.650562		301	Çï	14.312175		301	Çï	16.797165		298	Çï	29.055159														345	¶¬	27.273907		345	¶¬	32.175636		347	¶¬	24.399563
307	¶¬	31.97567		307	¶¬	13.307672		303	Çï	17.410494		303	Çï	16.562029		301	Çï	13.478988														347	¶¬	28.128534		347	¶¬	33.936371				
308	¶¬	31.227192		308	¶¬	11.236558		306	¶¬	13.623747		306	¶¬	19.662121		303	Çï	17.50638																								
312	¶¬	32.829086		312	¶¬	14.385708		307	¶¬	13.930833		307	¶¬	13.564923		306	¶¬	21.325327																								
313	¶¬	38.555706		313	¶¬	20.814255		308	¶¬	9.780614		308	¶¬	10.808449		307	¶¬	14.142849																								
322	¶¬	38.07671		322	¶¬	20.118343		312	¶¬	11.43522		312	¶¬	12.61403		308	¶¬	8.532018																								
323	¶¬	39.551907		323	¶¬	20.134262		313	¶¬	20.820021		313	¶¬	23.999508		312	¶¬	13.960663																								
324	¶¬	32.867264		324	¶¬	11.49579		322	¶¬	20.417688		322	¶¬	22.525787		313	¶¬	25.476173																								
333	¶¬	31.372929		333	¶¬	12.236697		323	¶¬	19.220377		323	¶¬	18.06625		322	¶¬	22.97369																								
340	¶¬	27.383352		340	¶¬	6.847806		324	¶¬	9.523834		324	¶¬	10.294007		323	¶¬	20.573328																								
341	¶¬	40.919079		341	¶¬	25.276726		333	¶¬	11.478951		333	¶¬	14.286043		324	¶¬	9.613976																								
342	¶¬	24.08626		344	¶¬	4.333359		340	¶¬	6.317258		340	¶¬	8.091086		333	¶¬	13.37226																								
344	¶¬	25.620222		345	¶¬	28.427557		341	¶¬	25.503752		341	¶¬	21.497564		340	¶¬	8.606151																								
345	¶¬	45.360088		346	¶¬	29.025097		344	¶¬	3.140535		342	¶¬	5.251335		341	¶¬	22.962679																								
								345	¶¬	25.552452		344	¶¬	4.286848		342	¶¬	6.440192																								
								346	¶¬	25.979177		345	¶¬	25.662573		344	¶¬	4.613818																								
																345	¶¬	28.065657																								
