65				65				65				65				64				49				49				49				55				54				54		
8	¶¬	47.547295		8	¶¬	33.371696		8	¶¬	31.949266		8	¶¬	28.931362		8	¶¬	28.628796		8	¶¬	27.115009		8	¶¬	31.341648		8	¶¬	33.116409		6	¶¬	31.635723		6	¶¬	32.656696		6	¶¬	26.446827
9	¶¬	39.529976		9	¶¬	23.590586		9	¶¬	19.528227		9	¶¬	17.189163		9	¶¬	16.316128		9	¶¬	16.187227		9	¶¬	29.15078		9	¶¬	30.449924		8	¶¬	34.758072		8	¶¬	39.246471		8	¶¬	32.9944
10	¶¬	42.32029		10	¶¬	25.886221		10	¶¬	20.948137		10	¶¬	18.225803		10	¶¬	16.091244		10	¶¬	11.758102		10	¶¬	22.344166		10	¶¬	25.684141		9	¶¬	34.585239		9	¶¬	37.36718		9	¶¬	29.035412
27	¶¬	33.619484		27	¶¬	28.62789		27	¶¬	26.526981		27	¶¬	26.967745		27	¶¬	28.607988		27	¶¬	28.455769		27	¶¬	34.463482		27	¶¬	35.900017		10	¶¬	26.132978		10	¶¬	29.386366		10	¶¬	22.774431
28	¶¬	34.149441		28	¶¬	21.761435		28	¶¬	18.767767		28	¶¬	15.50162		28	¶¬	10.646514		28	¶¬	7.041601		28	¶¬	17.153757		28	¶¬	19.61091		27	¶¬	40.134743		27	¶¬	39.423367		27	¶¬	35.696449
30	¶¬	33.745079		30	¶¬	20.850079		30	¶¬	18.247782		30	¶¬	16.114536		30	¶¬	15.030931		30	¶¬	11.034671		30	¶¬	23.122185		30	¶¬	26.219923		28	¶¬	21.270775		28	¶¬	24.311886		28	¶¬	18.326157
32	´º	33.681957		32	´º	14.801941		32	´º	11.432186		32	´º	10.328895		32	´º	11.067463		32	´º	10.476167		32	´º	21.114538		32	´º	22.950788		30	¶¬	30.218344		30	¶¬	32.510937		30	¶¬	25.182365
33	´º	42.418877		33	´º	25.877602		33	´º	24.056343		33	´º	23.51053		33	´º	22.533375		33	´º	17.682632		33	´º	24.283047		33	´º	27.395882		32	´º	26.591894		32	´º	30.92882		32	´º	22.880463
34	´º	35.193283		34	´º	18.35383		34	´º	15.7797		34	´º	15.900424		34	´º	20.20524		34	´º	20.759253		34	´º	29.487446		34	´º	32.40332		33	´º	27.938047		33	´º	30.905642		33	´º	24.258646
37	´º	42.027939		37	´º	25.396315		37	´º	23.616152		37	´º	25.261087		37	´º	26.017744		42	´º	27.43853		42	´º	37.358524		42	´º	39.923691		34	´º	34.803291		34	´º	38.457066		34	´º	31.549452
42	´º	51.116817		42	´º	41.522156		42	´º	36.705822		42	´º	31.432318		42	´º	28.331619		88	´º	24.83606		88	´º	32.373528		88	´º	29.291325		42	´º	36.37286		42	´º	40.113869		42	´º	37.34623
79	´º	47.626823		79	´º	37.052708		79	´º	35.48988		79	´º	35.973778		79	´º	37.817623		89	´º	21.755472		89	´º	36.671101		89	´º	37.058395		57	´º	42.320911		57	´º	44.293541		57	´º	36.841064
87	´º	31.622393		87	´º	21.748682		87	´º	16.649286		87	´º	13.605916		87	´º	17.21813		98	´º	23.330513		98	´º	35.38316		98	´º	36.12624		86	´º	41.538128		86	´º	42.032715		86	´º	38.400463
88	´º	37.196682		88	´º	25.651724		88	´º	25.908722		88	´º	25.011721		88	´º	26.014399		101	´º	18.496431		101	´º	27.19232		101	´º	25.340923		88	´º	32.248093		88	´º	34.407917		88	´º	28.989637
89	´º	39.477837		89	´º	26.027987		89	´º	24.288807		89	´º	24.424231		89	´º	25.634411		103	´º	16.785061		103	´º	28.674082		103	´º	28.989906		89	´º	42.054802		89	´º	45.157536		89	´º	39.271763
94	´º	31.689127		94	´º	16.471668		94	´º	11.551817		94	´º	14.320988		94	´º	17.0023		108	´º	15.730493		108	´º	26.066467		108	´º	21.211794		101	´º	26.363007		101	´º	31.153469		101	´º	25.400204
98	´º	37.485466		98	´º	30.330994		98	´º	23.758112		98	´º	20.785896		98	´º	22.11455		121	ÏÄ	20.009022		121	ÏÄ	30.951342		121	ÏÄ	28.2092		103	´º	37.275276		103	´º	34.706875		103	´º	29.002729
101	´º	27.66073		101	´º	18.927284		101	´º	16.869305		101	´º	15.31242		101	´º	16.635258		122	ÏÄ	17.821102		122	ÏÄ	23.905584		122	ÏÄ	24.135412		108	´º	24.659952		108	´º	29.406996		108	´º	23.890881
103	´º	36.337227		103	´º	26.203358		103	´º	22.501137		103	´º	19.629936		103	´º	17.37467		126	ÏÄ	7.305057		126	ÏÄ	16.007343		126	ÏÄ	17.343206		109	´º	33.780617		109	´º	36.748379		109	´º	30.564814
108	´º	32.481571		108	´º	23.986937		108	´º	21.978016		108	´º	18.424803		108	´º	16.977762		139	ÏÄ	24.446457		139	ÏÄ	31.719744		139	ÏÄ	38.872734		121	ÏÄ	34.596664		121	ÏÄ	35.939632		121	ÏÄ	30.828905
109	´º	41.786057		109	´º	28.710318		109	´º	27.738937		109	´º	23.98468		109	´º	23.769285		140	ÏÄ	16.699623		140	ÏÄ	21.252628		140	ÏÄ	19.304588		122	ÏÄ	37.715794		122	ÏÄ	37.942665		122	ÏÄ	30.088589
110	´º	32.529541		110	´º	20.873423		110	´º	18.860802		110	´º	14.301728		110	´º	10.920214	Æ«	158	ÏÄ	8.88867		158	ÏÄ	17.861923		158	ÏÄ	27.363422		126	ÏÄ	28.491596		126	ÏÄ	28.751877		126	ÏÄ	19.523161
115	´º	36.315136		115	´º	26.249195		115	´º	28.077929		115	´º	26.443775		115	´º	28.172527		208	ÏÄ	17.818504		208	ÏÄ	34.066021		208	ÏÄ	30.487272		140	ÏÄ	21.109632		140	ÏÄ	26.001789		140	ÏÄ	18.465578
121	ÏÄ	39.062737		121	ÏÄ	29.899755		121	ÏÄ	28.491146		121	ÏÄ	25.504725		121	ÏÄ	21.816771		210	ÏÄ	26.892441		210	ÏÄ	40.35833		210	ÏÄ	38.084839		179	ÏÄ	20.532326		185	ÏÄ	34.312683		185	ÏÄ	29.167513
122	ÏÄ	39.200966		122	ÏÄ	30.301361		122	ÏÄ	27.015343		122	ÏÄ	26.738131		122	ÏÄ	24.289425		213	Çï	19.147541		213	Çï	27.918194		213	Çï	25.108387		185	ÏÄ	29.889114		186	ÏÄ	26.033215		186	ÏÄ	28.011868
126	ÏÄ	24.017427		126	ÏÄ	14.602278		126	ÏÄ	11.818966		126	ÏÄ	9.99835		126	ÏÄ	8.602833		220	Çï	20.071459		220	Çï	21.793518		220	Çï	24.760792		186	ÏÄ	20.239902		188	ÏÄ	26.989164		188	ÏÄ	21.460859
128	ÏÄ	33.443466		128	ÏÄ	19.310253		128	ÏÄ	18.649166		128	ÏÄ	17.39113		128	ÏÄ	19.662165		222	Çï	11.066838		222	Çï	20.052385		222	Çï	23.800306		188	ÏÄ	22.742115		199	ÏÄ	30.313873		199	ÏÄ	26.634336
139	ÏÄ	34.384132		139	ÏÄ	22.491634		139	ÏÄ	18.961571		139	ÏÄ	19.663263		139	ÏÄ	20.954254		238	Çï	14.417359		238	Çï	23.164085		238	Çï	29.915344		199	ÏÄ	28.719528		209	ÏÄ	39.002411		209	ÏÄ	38.777176
