3	7	22.0632
4	8	31.6805
1	9	23.462
1	61	30.2906
1	62	30.3083
1	73	23.5057
2	75	24.5291
1	89	22.7079
4	92	27.6852
3	93	29.8049
4	101	31.7998
1	107	23.8701
3	109	36.5554
3	114	28.8597
2	119	21.6182
1	139	20.3429
1	140	26.489
1	162	15.9192
2	169	22.0604
3	171	20.2949
3	194	32.2077
3	201	22.88
2	210	19.4955
2	226	27.1296
3	240	27.9397
2	242	22.8735
4	260	27.2372
4	265	32.0144
2	267	23.6373
3	269	32.5838
4	288	31.8096
1	306	21.9997
1	308	22.0602
1	310	31.9459
1	311	17.9346
1	315	20.377
3	336	26.5296
1	350	21.2792
1	351	25.6339
3	354	23.4293
3	363	33.6343
