1	1	28.0474
3	2	33.6318
1	3	33.0157
4	5	40.9502
3	40	30.1004
4	45	34.9549
4	46	39.8807
2	47	30.3836
4	58	34.4932
6	59	37.3137
1	60	30.6401
1	62	35.9507
1	63	20.7311
3	70	33.5605
3	83	34.069
1	84	31.2433
1	86	31.6019
3	115	34.0927
1	116	27.8553
4	122	35.568
6	123	47.7211
1	127	35.6046
1	132	30.6648
2	136	28.5885
6	140	44.2645
1	141	19.1769
6	143	30.1599
3	150	30.4159
3	207	31.6296
2	209	32.9262
3	221	25.4431
3	232	35.6097
3	244	32.4545
4	266	37.0596
3	280	32.4684
3	287	37.6583
1	289	28.1235
2	291	39.7089
6	315	46.6285
3	316	44.9491
2	317	40.2737
2	319	39.6716
1	324	29.1103
1	325	35.676
4	330	40.2055
1	332	28.1991
1	333	25.9606
3	334	38.6393
1	335	26.799
1	337	30.3821
1	340	23.6038
3	341	32.4434
1	344	25.4335
2	351	31.3115
2	360	29.6467
